,mean_rmse_increase
ForceVent,-0.0009350231551439117
Temperature,5.55663996394673e-06
rain_flag,3.3176150836249085e-05
Precipitations,7.286972192391272e-05
day_of_week,0.00016452894917676208
hour,0.0006222929739664526
month_of_year,0.004103840069716452
latitude_scaled,0.030709581422407685
longitude_scaled,0.03188066006459297
total_count,0.043402970364094136
